name,platforms,genre,released
Buckshot Roulette,PC,Puzzle,2023-12-28
World Warfare & Economics,PC,Strategy,2023-12-21
Aery: Calm Mind 4,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-12-20
Cygnus Enterprises,PC,RPG,2023-12-19
Eresys,PC,Adventure,2023-12-18
The Enjenir,PC,Puzzle,2023-12-18
Escape from Tarkov: Arena,PC,Action,2023-12-17
One-armed Robber,PC,Action,2023-12-15
Asgard's Wrath 2,PC,RPG,2023-12-15
Trinity Fusion,"PC, PlayStation, Xbox, Nintendo",Action,2023-12-15
Paranoid,PC,Adventure,2023-12-15
Bahnsen Knights,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-12-14
Wartales: Pirates of Belerion,PC,RPG,2023-12-14
Cookie Cutter,"PC, PlayStation, Xbox, Nintendo",Action,2023-12-14
Soulslinger: Envoy of Death,PC,Action,2023-12-14
Five Nights at Freddy's: Help Wanted 2,"PC, PlayStation, Nintendo",Adventure,2023-12-14
Veiled Experts,PC,Action,2023-12-14
Granblue Fantasy: Versus Rising,"PC, PlayStation",Fighting,2023-12-14
River Tails: Stronger Together,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-12-14
House Flipper 2,"PC, PlayStation, Xbox",Simulation,2023-12-14
Pioneers of Pagonia,PC,Strategy,2023-12-13
Ready or Not,PC,Action,2023-12-13
God of War: Ragnarok - Valhalla,"PC, PlayStation",Action,2023-12-12
United 1944,PC,Action,2023-12-12
Fortnite Festival,"PC, PlayStation, Xbox, Mobile, Nintendo",Party,2023-12-09
Rocket Racing,"PC, PlayStation, Xbox, Mobile, Nintendo",Racing,2023-12-08
Final Fantasy XVI: Echoes of the Fallen,"PC, PlayStation",RPG,2023-12-08
The Finals,"PC, PlayStation, Xbox",Action,2023-12-08
Against the Storm,PC,Strategy,2023-12-08
LEGO Fortnite,"PC, PlayStation, Xbox, Mobile, Nintendo",Action,2023-12-07
Railroader,PC,Simulation,2023-12-07
The Sims 4: For Rent,"PC, PlayStation, Xbox",Simulation,2023-12-07
Hollow Cocoon,"PC, Nintendo",Adventure,2023-12-07
"Warhammer 40,000: Rogue Trader","PC, PlayStation, Xbox",RPG,2023-12-07
Undying,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-12-07
Avatar: Frontiers of Pandora,"PC, PlayStation, Xbox",Action,2023-12-07
Arizona Sunshine 2,"PC, PlayStation",Action,2023-12-07
Shadow Gambit: Zagan's Ritual,"PC, PlayStation, Xbox",Strategy,2023-12-06
Shadow Gambit: Yuki's Wish,"PC, PlayStation, Xbox",Strategy,2023-12-06
Destroyer: The U-Boat Hunter,PC,Simulation,2023-12-06
While the Iron's Hot,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-12-05
Tram Simulator: Urban Transit,"PC, PlayStation, Xbox",Simulation,2023-12-05
Cyberpunk 2077: Ultimate Edition,"PC, PlayStation, Xbox",RPG,2023-12-05
Sonic Dream Team,Mobile,Arcade,2023-12-05
A Highland Song,"PC, Nintendo",Adventure,2023-12-05
Disney Dreamlight Valley,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-12-05
Blood West,PC,Action,2023-12-05
The Anacrusis,"PC, Xbox",Action,2023-12-05
Born of Bread,"PC, PlayStation, Xbox, Nintendo",RPG,2023-12-05
Kingpin: Reloaded,"PC, PlayStation, Xbox, Nintendo",Action,2023-12-05
Faeland,PC,Action,2023-12-05
Ghosthunter,"PC, PlayStation",Action,2023-12-05
Warplanes: Air Corp,PC,Simulation,2023-12-04
Dragon Quest Monsters: The Dark Prince,"PC, Mobile, Nintendo",RPG,2023-12-01
SteamWorld Build,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-12-01
BLOKI,PC,Simulation,2023-11-30
Sniper Elite VR: Winter Warrior,PC,Action,2023-11-30
Hitman: Blood Money Reprisal,"Mobile, Nintendo",Action,2023-11-30
Pinball M,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-11-30
Turok 3: Shadow of Oblivion Remastered,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-30
American Truck Simulator: Kansas,PC,Simulation,2023-11-30
TEVI,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-30
Gangs of Sherwood,"PC, PlayStation, Xbox",Action,2023-11-30
The Exit 8,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-29
Wizordum,PC,Action,2023-11-29
Gothic II Complete Classic,Nintendo,RPG,2023-11-29
Gundam Evolution,"PC, PlayStation, Xbox",Action,2023-11-29
The Muller-Powell Principle,"PC, PlayStation, Xbox",Adventure,2023-11-29
Last Train Home,PC,Strategy,2023-11-28
Dynasty Warriors M,Mobile,RPG,2023-11-22
Jurassic Park Classic Games Collection,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-22
Pathfinder: Wrath of the Righteous - The Lord of Nothing,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-21
Worldless,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-11-21
Valfaris: Mecha Therion,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-21
Flyout,PC,Simulation,2023-11-17
Bluey: The Videogame,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-17
The Walking Dead: Destinies,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-17
Persona 5 Tactica,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-11-17
Super Mario RPG,Nintendo,RPG,2023-11-17
Warhammer Age of Sigmar: Realms of Ruin,"PC, PlayStation, Xbox",Strategy,2023-11-17
Stellaris: Astral Planes,PC,Strategy,2023-11-16
Dredge: The Pale Reach,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-16
Assassin's Creed: Nexus VR,PC,Action,2023-11-16
Naruto x Boruto: Ultimate Ninja Storm CONNECTIONS,"PC, PlayStation, Xbox, Nintendo",Fighting,2023-11-16
Loddlenaut,"PC, Nintendo",Adventure,2023-11-16
Flashback 2,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-16
Anvil Saga,PC,Strategy,2023-11-16
Arma Reforger,"PC, PlayStation, Xbox",Action,2023-11-16
Naheulbeuk's Dungeon Master,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-11-15
Lake: Season's Greetings,"PC, PlayStation, Xbox",Adventure,2023-11-15
Zipp's Cafe,PC,Adventure,2023-11-15
Death Roads: Tournament,PC,Strategy,2023-11-15
American Arcadia,PC,Adventure,2023-11-15
The Last Faith,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-15
SINoALICE,Mobile,RPG,2023-11-15
Death Must Die,PC,Action,2023-11-14
Howl,"PC, PlayStation, Xbox, Mobile, Nintendo",Strategy,2023-11-14
Forza Customs,Mobile,Puzzle,2023-11-14
Remnant II: The Awakened King,"PC, PlayStation, Xbox",Action,2023-11-14
Hearthstone: Showdown in the Badlands,"PC, Mobile",Puzzle,2023-11-14
Age of Empires IV: The Sultans Ascend,"PC, Xbox",Strategy,2023-11-14
Refind Self: The Personality Test Game,"PC, Mobile, Nintendo",Adventure,2023-11-14
Backpack Hero,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-14
UFO Robot Grendizer: The Feast of the Wolves,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-14
Farming Simulator 22: Premium Expansion,"PC, PlayStation, Xbox",Simulation,2023-11-14
KarmaZoo,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-11-14
Astral Ascent,"PC, PlayStation, Nintendo",Action,2023-11-14
Coral Island,"PC, PlayStation, Xbox",RPG,2023-11-14
Asterix & Obelix: Slap Them All! 2,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-13
Spirittea,"PC, Xbox, Nintendo",RPG,2023-11-13
Blazing Sails,PC,Action,2023-11-13
Call of Duty: Modern Warfare III,"PC, PlayStation, Xbox",Action,2023-11-10
Super Double Dragon,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-09
Tales of Arise: Beyond the Dawn,"PC, PlayStation, Xbox",RPG,2023-11-09
Stride: Fates,"PC, PlayStation",Action,2023-11-09
Cuisineer,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-09
Dungeons 4,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-11-09
Spells & Secrets,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-09
Ikonei Island: An Earthlock Adventure,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-09
Sanabi,"PC, Nintendo",Action,2023-11-09
Colony Ship,PC,RPG,2023-11-09
The Lord of the Rings Online: Corsairs of Umbar,PC,RPG,2023-11-08
Risk of Rain Returns,"PC, Nintendo",Action,2023-11-08
Like a Dragon Gaiden: The Man Who Erased His Name,"PC, PlayStation, Xbox",Action,2023-11-08
Beyond Sunset,PC,Action,2023-11-08
Gunhead,"PC, PlayStation",Action,2023-11-08
