name,platforms,genre,release_date
Redemption of Liuyin,"PC, PlayStation, Xbox",RPG,"March 24, 2025"
Drive Beyond Horizons,PC,Action,"March 24, 2025"
Empires of the Undergrowth: Exploding Ants,PC,Strategy,"March 24, 2025"
Folklands,PC,Strategy,"March 24, 2025"
Dark Deity 2,PC,RPG,"March 24, 2025"
Schedule I,PC,Simulation,"March 24, 2025"
Edge Islands,PC,Strategy,"March 24, 2025"
Psycho Patrol R,PC,Action,"March 24, 2025"
River Towns,PC,Strategy,"March 24, 2025"
The Darkest Files,PC,Adventure,"March 25, 2025"
Nordhold,PC,Strategy,"March 25, 2025"
Grit and Valor: 1949,"PC, PlayStation, Xbox, Nintendo",Strategy,"March 26, 2025"
Game of Thrones: Kingsroad,"PC, Mobile",RPG,"March 26, 2025"
Spilled!,PC,Arcade,"March 26, 2025"
Mother Machine,PC,Action,"March 26, 2025"
Drone Perspective,PC,Strategy,"March 26, 2025"
AI Limit,"PC, PlayStation",RPG,"March 27, 2025"
Sports: Renovations,"PC, PlayStation, Xbox",Simulation,"March 27, 2025"
The First Berserker: Khazan,"PC, PlayStation, Xbox",RPG,"March 27, 2025"
Mini Royale,PC,Action,"March 27, 2025"
Atomfall,"PC, PlayStation, Xbox",Action,"March 27, 2025"
Sins of a Solar Empire II: Paths to Power,PC,Strategy,"March 27, 2025"
ENA: Dream BBQ,PC,Adventure,"March 27, 2025"
Karma: The Dark World,"PC, PlayStation",Adventure,"March 27, 2025"
Rosewater,PC,Adventure,"March 27, 2025"
Gal Guardians: Servants of the Dark,"PC, PlayStation, Xbox, Nintendo",Action,"March 27, 2025"
Twilight Monk,"PC, Nintendo",Action,"March 27, 2025"
Asurajang,PC,Action,"March 27, 2025"
inZOI,PC,Simulation,"March 28, 2025"
Within the Cosmos,PC,RPG,"March 28, 2025"
PlayM2M,PC,RPG,"March 28, 2025"
Emissary Zero,PC,Adventure,"March 28, 2025"
Dollhouse: Behind the Broken Mirror,"PC, PlayStation, Xbox",Action,"March 28, 2025"
Tower of Kalemonvo,PC,RPG,"March 28, 2025"
Dead Static Drive,"PC, Xbox",Action,Q1 2025
