vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags,platforms,genre
731128,Atelier Yumia The Alchemist of Memories  the Envisioned Land,2025-03-21,3123410,atelier-yumia-the-alchemist-of-memories-the-envisioned-land,69.99,16650,555,18782,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox, Nintendo",RPG
743106,Assassins Creed Shadows,2025-03-20,3159330,assassin’s-creed-shadows,69.99,175000,5849,47247,82.493,"Action, Adventure, RPG",Ubisoft,Ubisoft,AAA,9800000,"['Singleplayer', 'RPG', 'Ninja', 'Assassin', 'Action-Adventure', 'Action RPG', 'Historical', 'Third-Person', 'Cinematic', 'Parkour', 'Swordplay', 'Nonlinear', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Multiple Endings']","PC, PlayStation, Xbox",RPG
690290,BLEACH Rebirth of Souls,2025-03-20,1689620,bleach-rebirth-of-souls,59.99,80220,2674,28582,42.259,Action,TAMSOFT CORPORATION,Bandai Namco,AAA,3800000,"['Action', 'Singleplayer', 'Multiplayer', 'Drama', 'Fighting', 'Dark Fantasy', 'PvE', 'Comic Book', 'Swordplay', '3D Fighter', 'Combat', '3D', 'Story Rich', 'Anime', 'Great Soundtrack', 'PvP']","PC, PlayStation, Xbox",Fighting
717914,Wreckfest 2,2025-03-20,1203190,wreckfest-2,29.99,30420,1014,20641,74.458,Racing,Bugbear,THQ Nordic,AA,584000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Automobile Sim', 'Racing', 'Driving', 'First-Person', 'Third-Person', 'Destruction', 'Combat Racing', 'Vehicular Combat', '3D', 'Physics', 'PvP', 'Realistic']","PC, PlayStation, Xbox",Racing
746851,WWE 2K25,2025-03-13,2878960,wwe-2k25,59.99,36360,1212,6065,63.119,"Simulation, Sports",Visual Concepts,2K,AAA,1700000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Sports', 'Controller', 'Co-op', 'Fighting', 'Online Co-Op', 'Character Customization', 'Local Multiplayer', 'Local Co-Op', '3D Fighter', 'Wrestling', '3D', 'Sandbox', 'PvP', 'Realistic']","PC, PlayStation, Xbox",Sports
748865,Rise of the Ronin,2025-03-11,1340990,rise-of-the-ronin--1,49.99,123000,4085,25393,51.75,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,4900000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Gore', 'Action RPG', 'Souls-like', 'Co-op', 'Online Co-Op', 'Character Customization', 'Historical', 'Third-Person', 'Asynchronous Multiplayer', 'Swordplay', '3D', 'Open World', 'Violent', 'Multiple Endings']","PC, PlayStation",RPG
745663,Split Fiction,2025-03-06,2001120,split-fiction,49.99,2700000,49902,124000,98.01,"Action, Adventure",Hazelight Studios,Electronic Arts,AAA,109600000,"['Action', 'Adventure', 'Multiplayer', 'Action-Adventure', 'Co-op', 'Split Screen', 'Online Co-Op', 'Local Co-Op', 'Co-op Campaign', 'Female Protagonist', 'Fantasy', 'Sci-fi']","PC, PlayStation, Xbox",Action
621268,Carmen Sandiego,2025-03-04,2475300,carmen-sandiego,29.99,1020,34,2504,76.471,"Adventure, Strategy",Gameloft,Gameloft,AA,24474,"['Strategy', 'Adventure', 'Singleplayer', 'Education', 'Hacking', 'Time Management', 'Hidden Object', 'Investigation', 'Detective', '3D', 'Puzzle', 'Stealth', 'Exploration', 'Colorful']","PC, PlayStation, Xbox, Mobile, Nintendo",Adventure
723445,Monster Hunter Wilds,2025-02-28,2246340,monster-hunter-wilds,69.99,6100000,176000,457000,59.188,"Action, Adventure, RPG",Capcom,Capcom,AAA,343500000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Underwater', 'Multiplayer', 'Action RPG', 'Souls-like', 'Co-op', 'Dragons', 'Online Co-Op', 'Character Customization', 'Third-Person', 'Dating Sim', 'Hunting', 'Fantasy', 'Open World', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox",RPG
747556,PGA TOUR 2K25,2025-02-28,2385530,pga-tour-2k25,69.99,41880,1396,3166,63.897,"Simulation, RPG, Sports",HB Studios,2K,AAA,2300000,"['Simulation', 'Singleplayer', 'RPG', 'Multiplayer', 'Sports', 'Gore', 'Co-op', 'Online Co-Op', 'Character Customization', 'Third-Person', 'Golf', 'Family Friendly', 'PvP', 'Realistic']","PC, PlayStation, Xbox",Sports
745661,YuGiOh EARLY DAYS COLLECTION,2025-02-27,3013550,yu-gi-oh!-early-days-collection,49.99,6540,218,5627,72.477,"Simulation, Strategy, RPG",Digital Eclipse,KONAMI,AA,262000,"['Strategy', 'Simulation', 'Singleplayer', 'RPG', 'Multiplayer', 'Trading Card Game', 'Deckbuilding', 'Card Battler', 'Card Game', 'Retro', 'Anime', 'Violent', 'PvP']","PC, Nintendo",Puzzle
735173,Like a Dragon Pirate Yakuza in Hawaii,2025-02-20,3061810,like-a-dragon-pirate-yakuza-in-hawaii,59.99,167000,5569,30816,91.65,"Action, Adventure, RPG",Ryu Ga Gotoku Studio,SEGA,AAA,8000000,"['Action', 'Adventure', 'RPG', 'Action-Adventure', 'Drama', 'Action RPG', 'Pirates', 'Naval Combat', 'Naval', 'Sailing', 'Character Customization', 'Hack and Slash', 'Third-Person', 'Cinematic', 'Swordplay', '3D', 'Exploration', 'JRPG', 'Fantasy', 'Funny']","PC, PlayStation, Xbox",Action
621354,Avowed,2025-02-18,2457220,avowed,69.99,250000,8340,104000,77.926,RPG,Obsidian Entertainment,Xbox Game Studios,AAA,14000000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Choices Matter', 'Action RPG', 'First-Person', 'LGBTQ+', 'Character Customization', 'Third-Person', 'Magic', 'Combat', '3D', 'Fantasy', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Colorful', 'Mature']","PC, Xbox",RPG
736747,Tomb Raider IVVI Remastered,2025-02-14,2525380,tomb-raider-iv-vi-remastered,29.99,26130,871,10990,87.141,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,627000,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Stylized', 'Puzzle Platformer', 'Mystery', 'Dark', 'Third-Person Shooter', 'Third-Person', 'Parkour', '3D Platformer', 'Precision Platformer', '3D', 'Platformer', 'Puzzle', 'Exploration', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action
750366,WARRIORS Abyss,2025-02-12,3178350,warriors-abyss,24.99,28020,934,7615,85.867,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,558000,"['Action', 'Singleplayer', 'RPG', 'Action RPG', 'Dark Fantasy', 'Historical', 'Hack and Slash', 'Third-Person', 'Action Roguelike', 'Martial Arts', '3D', 'Top-Down', 'Roguelike', 'Roguelite', 'Musou']","PC, PlayStation, Xbox, Nintendo",Action
688119,Sid Meiers Civilization VII,2025-02-10,1295660,sid-meier's-civilization-vii,69.99,980000,36969,215000,49.855,"Simulation, Strategy",Firaxis Games,2K,AAA,54900000,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Turn-Based Tactics', 'Stylized', 'Hex Grid', 'War', 'Historical', 'Grand Strategy', 'Tactical', 'Turn-Based Strategy', 'Alternate History', 'Political Sim', 'Diplomacy', '4X', 'City Builder', 'PvP', 'Replay Value']","PC, PlayStation, Xbox, Nintendo",Strategy
