name,released,steam_id,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags,platforms,genre,Platform,tag
Split Fiction,2025-03-06,2001120.0,49.99,2700000.0,49902.0,124000.0,98.01,"Action, Adventure",Hazelight Studios,Electronic Arts,AAA,109600000.0,"['Action', 'Adventure', 'Multiplayer', 'Action-Adventure', 'Co-op', 'Split Screen', 'Online Co-Op', 'Local Co-Op', 'Co-op Campaign', 'Female Protagonist', 'Fantasy', 'Sci-fi']","PC, PlayStation, Xbox",Action,PC,weapon
Split Fiction,2025-03-06,2001120.0,49.99,2700000.0,49902.0,124000.0,98.01,"Action, Adventure",Hazelight Studios,Electronic Arts,AAA,109600000.0,"['Action', 'Adventure', 'Multiplayer', 'Action-Adventure', 'Co-op', 'Split Screen', 'Online Co-Op', 'Local Co-Op', 'Co-op Campaign', 'Female Protagonist', 'Fantasy', 'Sci-fi']","PC, PlayStation, Xbox",Action,PlayStation,weapon
Split Fiction,2025-03-06,2001120.0,49.99,2700000.0,49902.0,124000.0,98.01,"Action, Adventure",Hazelight Studios,Electronic Arts,AAA,109600000.0,"['Action', 'Adventure', 'Multiplayer', 'Action-Adventure', 'Co-op', 'Split Screen', 'Online Co-Op', 'Local Co-Op', 'Co-op Campaign', 'Female Protagonist', 'Fantasy', 'Sci-fi']","PC, PlayStation, Xbox",Action,Xbox,weapon
Like a Dragon Pirate Yakuza in Hawaii,2025-02-20,3061810.0,59.99,167000.0,5569.0,30816.0,91.65,"Action, Adventure, RPG",Ryu Ga Gotoku Studio,SEGA,AAA,8000000.0,"['Action', 'Adventure', 'RPG', 'Action-Adventure', 'Drama', 'Action RPG', 'Pirates', 'Naval Combat', 'Naval', 'Sailing', 'Character Customization', 'Hack and Slash', 'Third-Person', 'Cinematic', 'Swordplay', '3D', 'Exploration', 'JRPG', 'Fantasy', 'Funny']","PC, PlayStation, Xbox",Action,PC,weapon
Like a Dragon Pirate Yakuza in Hawaii,2025-02-20,3061810.0,59.99,167000.0,5569.0,30816.0,91.65,"Action, Adventure, RPG",Ryu Ga Gotoku Studio,SEGA,AAA,8000000.0,"['Action', 'Adventure', 'RPG', 'Action-Adventure', 'Drama', 'Action RPG', 'Pirates', 'Naval Combat', 'Naval', 'Sailing', 'Character Customization', 'Hack and Slash', 'Third-Person', 'Cinematic', 'Swordplay', '3D', 'Exploration', 'JRPG', 'Fantasy', 'Funny']","PC, PlayStation, Xbox",Action,PlayStation,weapon
Like a Dragon Pirate Yakuza in Hawaii,2025-02-20,3061810.0,59.99,167000.0,5569.0,30816.0,91.65,"Action, Adventure, RPG",Ryu Ga Gotoku Studio,SEGA,AAA,8000000.0,"['Action', 'Adventure', 'RPG', 'Action-Adventure', 'Drama', 'Action RPG', 'Pirates', 'Naval Combat', 'Naval', 'Sailing', 'Character Customization', 'Hack and Slash', 'Third-Person', 'Cinematic', 'Swordplay', '3D', 'Exploration', 'JRPG', 'Fantasy', 'Funny']","PC, PlayStation, Xbox",Action,Xbox,weapon
Tomb Raider IVVI Remastered,2025-02-14,2525380.0,29.99,26130.0,871.0,10990.0,87.141,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,627000.0,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Stylized', 'Puzzle Platformer', 'Mystery', 'Dark', 'Third-Person Shooter', 'Third-Person', 'Parkour', '3D Platformer', 'Precision Platformer', '3D', 'Platformer', 'Puzzle', 'Exploration', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action,PC,weapon
Tomb Raider IVVI Remastered,2025-02-14,2525380.0,29.99,26130.0,871.0,10990.0,87.141,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,627000.0,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Stylized', 'Puzzle Platformer', 'Mystery', 'Dark', 'Third-Person Shooter', 'Third-Person', 'Parkour', '3D Platformer', 'Precision Platformer', '3D', 'Platformer', 'Puzzle', 'Exploration', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action,PlayStation,weapon
Tomb Raider IVVI Remastered,2025-02-14,2525380.0,29.99,26130.0,871.0,10990.0,87.141,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,627000.0,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Stylized', 'Puzzle Platformer', 'Mystery', 'Dark', 'Third-Person Shooter', 'Third-Person', 'Parkour', '3D Platformer', 'Precision Platformer', '3D', 'Platformer', 'Puzzle', 'Exploration', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action,Xbox,weapon
Tomb Raider IVVI Remastered,2025-02-14,2525380.0,29.99,26130.0,871.0,10990.0,87.141,"Action, Adventure","Aspyr, Crystal Dynamics",Aspyr,AA,627000.0,"['Action', 'Adventure', 'Old School', 'Action-Adventure', 'Drama', 'Stylized', 'Puzzle Platformer', 'Mystery', 'Dark', 'Third-Person Shooter', 'Third-Person', 'Parkour', '3D Platformer', 'Precision Platformer', '3D', 'Platformer', 'Puzzle', 'Exploration', 'Retro', 'Atmospheric']","PC, PlayStation, Xbox, Nintendo",Action,Nintendo,weapon
WARRIORS Abyss,2025-02-12,3178350.0,24.99,28020.0,934.0,7615.0,85.867,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,558000.0,"['Action', 'Singleplayer', 'RPG', 'Action RPG', 'Dark Fantasy', 'Historical', 'Hack and Slash', 'Third-Person', 'Action Roguelike', 'Martial Arts', '3D', 'Top-Down', 'Roguelike', 'Roguelite', 'Musou']","PC, PlayStation, Xbox, Nintendo",Action,PC,weapon
WARRIORS Abyss,2025-02-12,3178350.0,24.99,28020.0,934.0,7615.0,85.867,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,558000.0,"['Action', 'Singleplayer', 'RPG', 'Action RPG', 'Dark Fantasy', 'Historical', 'Hack and Slash', 'Third-Person', 'Action Roguelike', 'Martial Arts', '3D', 'Top-Down', 'Roguelike', 'Roguelite', 'Musou']","PC, PlayStation, Xbox, Nintendo",Action,PlayStation,weapon
WARRIORS Abyss,2025-02-12,3178350.0,24.99,28020.0,934.0,7615.0,85.867,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,558000.0,"['Action', 'Singleplayer', 'RPG', 'Action RPG', 'Dark Fantasy', 'Historical', 'Hack and Slash', 'Third-Person', 'Action Roguelike', 'Martial Arts', '3D', 'Top-Down', 'Roguelike', 'Roguelite', 'Musou']","PC, PlayStation, Xbox, Nintendo",Action,Xbox,weapon
WARRIORS Abyss,2025-02-12,3178350.0,24.99,28020.0,934.0,7615.0,85.867,"Action, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,558000.0,"['Action', 'Singleplayer', 'RPG', 'Action RPG', 'Dark Fantasy', 'Historical', 'Hack and Slash', 'Third-Person', 'Action Roguelike', 'Martial Arts', '3D', 'Top-Down', 'Roguelike', 'Roguelite', 'Musou']","PC, PlayStation, Xbox, Nintendo",Action,Nintendo,weapon
Marvels SpiderMan 2,2025-01-30,2651280.0,59.99,476000.0,15859.0,60019.0,73.252,"Action, Adventure","Insomniac Games, Nixxes software",PlayStation Publishing LLC,AAA,22800000.0,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Controller', 'Action-Adventure', ""Beat 'em up"", 'LGBTQ+', 'Third-Person', 'Political', 'Comic Book', 'Politics', 'Superhero', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Great Soundtrack']","PC, PlayStation",Action,PC,weapon
Marvels SpiderMan 2,2025-01-30,2651280.0,59.99,476000.0,15859.0,60019.0,73.252,"Action, Adventure","Insomniac Games, Nixxes software",PlayStation Publishing LLC,AAA,22800000.0,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Controller', 'Action-Adventure', ""Beat 'em up"", 'LGBTQ+', 'Third-Person', 'Political', 'Comic Book', 'Politics', 'Superhero', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Great Soundtrack']","PC, PlayStation",Action,PlayStation,weapon
Sniper Elite Resistance,2025-01-30,2169200.0,49.99,82200.0,2740.0,20550.0,69.015,"Action, Adventure",Rebellion,Rebellion,AA,3300000.0,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Action-Adventure', 'Gore', 'Third-Person Shooter', 'War', 'Third-Person', 'World War II', 'Sniper', 'Stealth', 'Violent']","PC, PlayStation, Xbox",Action,PC,weapon
Sniper Elite Resistance,2025-01-30,2169200.0,49.99,82200.0,2740.0,20550.0,69.015,"Action, Adventure",Rebellion,Rebellion,AA,3300000.0,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Action-Adventure', 'Gore', 'Third-Person Shooter', 'War', 'Third-Person', 'World War II', 'Sniper', 'Stealth', 'Violent']","PC, PlayStation, Xbox",Action,PlayStation,weapon
Sniper Elite Resistance,2025-01-30,2169200.0,49.99,82200.0,2740.0,20550.0,69.015,"Action, Adventure",Rebellion,Rebellion,AA,3300000.0,"['Action', 'Adventure', 'Singleplayer', 'Multiplayer', 'Action-Adventure', 'Gore', 'Third-Person Shooter', 'War', 'Third-Person', 'World War II', 'Sniper', 'Stealth', 'Violent']","PC, PlayStation, Xbox",Action,Xbox,weapon
