game_id,igdb_id,vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags
4998454,314943.0,731128,Atelier Yumia: The Alchemist of Memories & the Envisioned Land,2025-03-21,3123410,atelier-yumia-the-alchemist-of-memories-the-envisioned-land,69.99,16650,555,18782,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']"
5726470,,743106,Assassin's Creed Shadows,2025-03-20,3159330,assassin’s-creed-shadows,69.99,175000,5849,47247,82.493,"Action, Adventure, RPG",Ubisoft,Ubisoft,AAA,9800000,"['Singleplayer', 'RPG', 'Ninja', 'Assassin', 'Action-Adventure', 'Action RPG', 'Historical', 'Third-Person', 'Cinematic', 'Parkour', 'Swordplay', 'Nonlinear', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Multiple Endings']"
4378019,307765.0,690290,BLEACH Rebirth of Souls,2025-03-20,1689620,bleach-rebirth-of-souls,59.99,80220,2674,28582,42.259,Action,TAMSOFT CORPORATION,Bandai Namco,AAA,3800000,"['Action', 'Singleplayer', 'Multiplayer', 'Drama', 'Fighting', 'Dark Fantasy', 'PvE', 'Comic Book', 'Swordplay', '3D Fighter', 'Combat', '3D', 'Story Rich', 'Anime', 'Great Soundtrack', 'PvP']"
4620891,312277.0,717914,Wreckfest 2,2025-03-20,1203190,wreckfest-2,29.99,30420,1014,20641,74.458,Racing,Bugbear,THQ Nordic,AA,584000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Automobile Sim', 'Racing', 'Driving', 'First-Person', 'Third-Person', 'Destruction', 'Combat Racing', 'Vehicular Combat', '3D', 'Physics', 'PvP', 'Realistic']"
6392582,2689.0,747637,MySims™,2025-03-18,3328900,mysims,39.99,1500,50,2724,84.0,"Simulation, Casual",Maxis™,Electronic Arts,AAA,47988,"['Adventure', 'Simulation', 'Singleplayer', 'Casual', 'Action-Adventure', 'Immersive Sim', 'Gaming', 'Cartoon', 'Character Action Game', 'Character Customization', 'Crafting', 'Conversation', 'Retro', 'Cute', 'Family Friendly', 'Colorful']"
6392442,5036.0,747667,MySims™ Kingdom,2025-03-18,3328910,mysims-kingdom,39.99,750,25,743,88.0,"Adventure, Simulation, Casual",Maxis™,Electronic Arts,AAA,23993,"['Adventure', 'Simulation', 'Singleplayer', 'Casual', 'Action-Adventure', 'Immersive Sim', 'Gaming', 'Cartoon', 'Character Action Game', 'Character Customization', 'Crafting', 'Conversation', 'Retro', 'Cute', 'Family Friendly', 'Colorful']"
6351360,329690.0,746851,WWE 2K25,2025-03-13,2878960,wwe-2k25,59.99,36360,1212,6065,63.119,"Simulation, Sports",Visual Concepts,2K,AAA,1700000,"['Simulation', 'Singleplayer', 'Multiplayer', 'Sports', 'Controller', 'Co-op', 'Fighting', 'Online Co-Op', 'Character Customization', 'Local Multiplayer', 'Local Co-Op', '3D Fighter', 'Wrestling', '3D', 'Sandbox', 'PvP', 'Realistic']"
6657093,,748865,Rise of the Ronin,2025-03-11,1340990,rise-of-the-ronin--1,49.99,123000,4085,25393,51.75,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,4900000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Gore', 'Action RPG', 'Souls-like', 'Co-op', 'Online Co-Op', 'Character Customization', 'Historical', 'Third-Person', 'Asynchronous Multiplayer', 'Swordplay', '3D', 'Open World', 'Violent', 'Multiple Endings']"
5959862,325594.0,745663,Split Fiction,2025-03-06,2001120,split-fiction,49.99,2700000,49902,124000,98.01,"Action, Adventure",Hazelight Studios,Electronic Arts,AAA,109600000,"['Action', 'Adventure', 'Multiplayer', 'Action-Adventure', 'Co-op', 'Split Screen', 'Online Co-Op', 'Local Co-Op', 'Co-op Campaign', 'Female Protagonist', 'Fantasy', 'Sci-fi']"
479197,217909.0,636695,Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2025-03-06,1932640,suikoden-i-ii-hd-remaster-gate-rune-and-dunan-unification-wars,49.99,35850,1195,25008,95.314,RPG,KONAMI,KONAMI,AA,1400000,"['Singleplayer', 'RPG', 'Controller', 'Drama', 'Turn-Based Tactics', 'Medieval', 'Turn-Based Combat', 'CRPG', 'War', 'Tactical', 'Emotional', 'Tactical RPG', ""1990's"", '2D', 'Pixel Graphics', 'Exploration', 'JRPG', 'Fantasy', 'Story Rich', 'Multiple Endings']"
